Counter|Date/time|Latitude|Longitude|Temperature|Humidity|MagX|MagY|MagZ|MagMod|Pitch|Roll|Yaw|X_Acc|Y_Acc|Z_Acc
14|01:22.0|36.1107322|-127.3873875|45.14|21.01|46.85|16.34|20.29|53.61|348.274|64.834|11.136|0.016|0.041|0.028
15|01:32.6|36.54858144|-126.7810879|45.52|20.43|46.84|16.35|20.59|53.71|348.047|64.198|12.883|0.019|0.041|0.026
16|01:43.2|36.9828312|-126.1674339|45.39|20.13|46.87|16.25|20.88|53.82|347.545|64.507|13.259|0.02|0.041|0.025
17|01:53.7|37.41339425|-125.546271|45.05|19.37|46.85|16.15|21.62|54.07|346.493|64.381|12.724|0.02|0.042|0.028
18|02:04.3|37.84015035|-124.9174898|45.05|20.56|46.8|16.17|22.19|54.26|346.538|63.88|13.74|0.021|0.042|0.026
19|02:14.8|38.26267073|-124.2814506|44.82|20.35|46.66|16.23|22.2|54.16|345.976|63.614|14.188|0.016|0.042|0.027
20|02:25.4|38.68141952|-123.6371663|44.97|21.26|46.31|16.32|22.7|54.09|345.667|63.437|14.121|0.014|0.043|0.028
21|02:35.9|39.09653124|-122.9840948|44.89|20.7|46.13|16.22|22.68|53.90|346.988|64.034|14.146|0.019|0.041|0.028
22|02:46.5|39.50695549|-122.323583|45.04|20.56|45.87|16.21|23.24|53.92|346.602|64.803|14.768|0.019|0.042|0.027
23|02:57.0|39.91300142|-121.6548511|44.91|20.73|46|16.15|23.92|54.30|346.452|65.247|15.107|0.016|0.041|0.026
24|03:07.6|40.31475226|-120.9774402|44.73|20.84|45.92|16.19|24.46|54.49|346.551|65.008|16.383|0.015|0.042|0.026
25|03:18.1|40.7121776|-120.2910566|45.05|19.94|45.84|16.05|24.78|54.52|347.05|67.458|15.978|0.019|0.042|0.027
26|03:28.7|41.1045689|-119.596604|44.68|22.24|45.79|15.81|25.09|54.55|347.115|66.987|16.988|0.02|0.041|0.026
27|03:39.3|41.49219681|-118.8932915|45.07|20.18|45.54|15.73|25.37|54.45|347.27|66.272|17.276|0.019|0.041|0.028
28|03:49.8|41.87484393|-118.1811776|44.7|19.96|45.51|15.5|25.26|54.31|347.715|66.74|18.337|0.018|0.042|0.027
29|04:00.4|42.25225432|-117.460414|44.93|21.6|45.03|15.38|25.63|54.05|347.193|66.734|18.171|0.014|0.043|0.026
30|04:10.9|42.62442793|-116.7306727|44.91|20.53|44.82|15.33|25.86|53.97|345.725|66.129|17.119|0.021|0.041|0.024
31|04:21.5|42.9918022|-115.9907091|45.2|21.58|44.88|15.24|26.77|54.43|345.784|65.404|17.524|0.017|0.041|0.026
32|04:32.0|43.35327065|-115.2423919|44.86|21.1|44.64|15.21|27.14|54.41|346.339|66.987|17.525|0.022|0.042|0.028
33|04:42.6|43.70959579|-114.483783|44.7|20.9|44.59|15.14|27.56|54.56|344.708|67.016|17.924|0.018|0.041|0.029
34|04:53.1|44.06029618|-113.715494|44.95|20.94|44.47|14.98|27.82|54.55|345.114|67.82|17.073|0.014|0.042|0.028
35|05:03.7|44.40467796|-112.9387101|44.7|20.9|44.18|14.82|28.06|54.40|343.766|68.317|17.071|0.021|0.041|0.024
36|05:14.2|44.74326171|-112.1519102|44.79|21.37|44|15.14|28.27|54.45|343.892|66.771|17.118|0.019|0.041|0.026
37|05:24.8|45.07571418|-111.3554715|44.98|21.9|44.16|14.77|28.26|54.47|343.606|66.614|18.1|0.02|0.042|0.028
38|05:35.3|45.4021176|-110.5487898|44.91|21.53|43.81|14.78|28.4|54.26|342.438|66.645|18.076|0.018|0.04|0.027
39|05:45.9|45.72190684|-109.7328732|44.93|20.84|43.72|15.15|28.84|54.52|342.155|65.078|19.06|0.019|0.041|0.027
40|05:56.5|46.03511092|-108.907286|45.41|20.69|43.39|15.28|29.04|54.40|341.423|63.334|20.496|0.021|0.042|0.026
41|06:07.0|46.34180408|-108.0714182|45.46|20.44|42.99|14.8|29.85|54.39|341.859|63.831|19.547|0.02|0.041|0.027
42|06:17.6|46.64165221|-107.2257573|45.27|22.1|42.76|14.77|30.27|54.43|343.279|65.128|20.634|0.016|0.041|0.025
43|06:28.1|46.93408328|-106.3715805|44.97|19.93|42.21|14.83|29.78|53.74|343.352|64.56|21.638|0.02|0.041|0.027
44|06:38.7|47.21966059|-105.5068638|45.05|20.68|42.01|14.86|29.63|53.51|343.177|64.691|21.969|0.022|0.042|0.028
45|06:49.2|47.49794076|-104.6325034|44.88|21.17|41.89|14.73|29.78|53.47|343.484|63.126|24.759|0.02|0.042|0.027
46|06:59.8|47.76879616|-103.7484964|44.65|19.8|41.55|14.67|30.36|53.51|343.52|63.754|25.725|0.018|0.041|0.029
47|07:10.3|48.03205048|-102.8550147|44.98|20.72|41.28|14.62|30.44|53.33|343.071|63.052|25.779|0.017|0.043|0.027
48|07:20.9|48.28763598|-101.9518733|45.39|20.68|41.02|14.46|30.76|53.27|343.37|63.643|27.739|0.016|0.041|0.026
49|07:31.5|48.53603345|-101.0367949|45.45|21.03|40.82|14.19|31.37|53.40|343.975|63.825|28.398|0.019|0.041|0.027
50|07:42.0|48.77549314|-100.1158674|44.63|19.81|40.74|14.49|31.89|53.73|342.531|63.286|29.214|0.015|0.044|0.024
51|07:52.6|49.00694181|-99.18530384|44.82|22.06|40.58|14.45|31.77|53.52|341.415|62.999|29.754|0.014|0.042|0.028
52|08:03.1|49.22988612|-98.24670042|45.41|20.79|40.35|14.42|31.89|53.41|341.289|62.237|29.331|0.021|0.041|0.025
53|08:13.7|49.44468302|-97.2981207|45.43|21.89|40.03|14.25|31.79|53.07|341.77|62.959|28.028|0.022|0.041|0.025
54|08:24.2|49.65083484|-96.34128475|45.25|20.8|39.82|13.8|32.29|53.09|341.238|62.449|26.817|0.021|0.042|0.025
55|08:34.8|49.84816682|-95.37665885|45.11|19.02|39.34|13.94|32.58|52.95|340.952|62.455|27.58|0.021|0.042|0.026
56|08:45.3|50.03678914|-94.40328829|44.5|20.58|38.86|13.92|32.91|52.79|340.604|62.804|28.136|0.021|0.042|0.027
57|08:55.9|50.21637662|-93.42241861|45.02|22.26|38.61|13.92|32.98|52.65|341.292|62.783|28.899|0.019|0.041|0.027
58|09:06.4|50.38666852|-92.43520335|44.81|21.57|38.34|13.74|32.75|52.26|342.147|62.039|30.481|0.019|0.042|0.027
59|09:17.0|50.54801048|-91.43920708|45.48|21.43|37.8|13.32|33.03|51.93|341.901|61.606|31.389|0.016|0.041|0.027
60|09:27.5|50.70000421|-90.43634673|44.88|18.95|37.44|13.22|33.22|51.77|340.881|60.382|32.267|0.015|0.042|0.026
61|09:38.1|50.84246018|-89.42755048|44.97|20.39|37.35|13.24|33.18|51.68|340.792|59.785|33.27|0.015|0.041|0.025
62|09:48.6|50.97531958|-88.41296033|44.57|22.06|36.99|13.17|33.08|51.34|339.761|58.708|33.296|0.02|0.042|0.026
63|09:59.2|51.09874553|-87.39078937|44.56|20.07|36.56|13.19|33.24|51.14|338.915|57.076|34.199|0.018|0.04|0.026
64|10:09.8|51.21228818|-86.36430268|44.61|20.55|36.26|13.16|33.17|50.87|338.865|57.941|33.49|0.019|0.041|0.026
65|10:20.3|51.31596795|-85.33314094|45.32|21.13|35.98|12.88|33.07|50.54|340.269|56.935|33.98|0.018|0.043|0.028
66|10:30.9|51.40987103|-84.29590701|44.59|21.54|35.82|12.53|32.94|50.25|341.102|55.949|33.12|0.02|0.041|0.027
67|10:41.4|51.49369019|-83.25555646|44.79|19.51|35.57|12.47|32.76|49.94|341.753|55.785|34.026|0.02|0.041|0.027
68|10:52.0|51.56738835|-82.2125801|44.59|20.1|35.37|12.27|32.47|49.56|341.413|56.281|34.951|0.016|0.042|0.026
69|11:02.5|51.63110533|-81.16447385|44.79|22.31|35.23|12.37|32.1|49.24|341.489|54.424|34.321|0.015|0.042|0.026
70|11:13.1|51.68460146|-80.11461908|45.23|20.64|34.86|12.3|32.42|49.17|341.537|55.547|33.767|0.015|0.041|0.025
71|11:23.6|51.72793972|-79.06143161|45.41|20.3|34.47|12.25|32.78|49.12|339.961|54.431|34.992|0.013|0.043|0.027
72|11:34.2|51.76110895|-78.0033843|44.61|20.96|34.28|12.26|32.97|49.12|340.38|54.845|35.671|0.015|0.042|0.029
73|11:44.8|51.78387232|-76.94825938|45.14|21.12|34.19|12.41|32.03|48.47|340.052|54.658|36.753|0.016|0.041|0.026
74|11:55.3|51.79637256|-75.89135777|44.84|20.67|33.87|12.22|32.21|48.31|339.927|56.015|35.225|0.016|0.041|0.028
75|12:05.9|51.79857585|-74.83435658|44.88|19.24|33.75|12.09|32.62|48.47|339.869|55.446|34.668|0.018|0.041|0.027
76|12:16.4|51.79047907|-73.77704853|44.82|20.05|33.31|11.85|32.52|48.04|340.319|55.244|34.725|0.019|0.041|0.025
77|12:27.0|51.77209621|-72.72085594|45.29|20.64|32.89|11.81|32.58|47.78|339.594|56.083|35.575|0.02|0.041|0.025
78|12:37.5|51.74343183|-71.6655201|44.59|21.76|32.58|11.78|32.42|47.45|338.95|56.119|35.225|0.02|0.042|0.028
79|12:48.1|51.70449436|-70.61137834|44.75|21.16|32.31|11.61|32.28|47.12|338.434|56.141|34.605|0.02|0.041|0.026
80|12:58.6|51.65532849|-69.5594258|44.86|20.07|32.01|11.51|31.81|46.57|337.065|56.326|35.182|0.017|0.042|0.029
81|13:09.2|51.59599171|-68.51040426|44.61|20.77|31.8|11.29|31.66|46.27|337.335|56.635|35.001|0.018|0.042|0.026
82|13:19.8|51.5265448|-67.46483783|44.72|20.6|31.69|11.36|31.72|46.25|337.279|56.921|35.579|0.019|0.041|0.025
83|13:30.3|51.44691497|-66.42147673|45.46|20.94|31.61|11.2|31.81|46.22|337.278|57.126|36.809|0.014|0.043|0.024
84|13:40.9|51.35734826|-65.38321857|45.21|20.69|31.2|11.09|31.89|45.97|336.272|56.636|36.69|0.016|0.042|0.026
85|13:51.4|51.25792124|-64.3502394|44.93|20.85|30.67|11.23|31.64|45.47|336.862|56.059|37.156|0.021|0.042|0.028
86|14:02.0|51.14842716|-63.32018627|44.75|18.82|30.43|11.26|31.67|45.34|337.033|57.759|37.174|0.017|0.042|0.025
87|14:12.5|51.03005626|-62.30306183|44.59|20.83|30.08|10.95|31.48|44.90|337.293|57.517|38.107|0.02|0.041|0.023
88|14:23.0|50.90106124|-61.28352558|44.57|20.26|29.76|10.55|31.29|44.45|337.469|57.806|38.372|0.015|0.042|0.026
89|14:33.6|50.76279324|-60.27254183|44.49|20.31|29.62|10.51|31.13|44.24|337.241|58.549|37.281|0.02|0.04|0.025
90|14:44.2|50.61464257|-59.26528768|44.75|21.27|29.24|10.64|30.83|43.80|338.008|58.323|37.685|0.015|0.042|0.028
91|14:54.7|50.4574213|-58.26694988|44.73|20.48|29.13|10.33|30.89|43.70|338.75|56.892|38.659|0.018|0.041|0.027
92|15:05.3|50.29078207|-57.27480558|44.81|20.05|29.1|10.3|30.86|43.65|339.557|55.917|40.411|0.012|0.041|0.026
93|15:15.8|50.11517227|-56.29110787|45|21.59|28.72|9.86|30.39|42.96|338.381|56.183|40.194|0.02|0.042|0.026
94|15:26.4|49.93038461|-55.3142772|44.77|20.1|28.45|9.63|30.32|42.68|337.645|58.011|40.667|0.021|0.043|0.026
95|15:36.9|49.73662068|-54.34507611|44.52|20.24|28.11|9.66|29.81|42.10|337.866|55.756|41.886|0.015|0.041|0.026
96|15:47.5|49.5343359|-53.38530722|44.84|22.95|27.89|9.35|29.87|41.92|337.603|54.823|41.979|0.02|0.041|0.027
97|15:58.0|49.32327064|-52.43329233|44.59|20.87|27.68|9.24|29.71|41.64|337.776|54.64|42.237|0.021|0.041|0.024
98|16:08.6|49.10374646|-51.49011248|44.7|21.49|27.49|9.1|30.17|41.82|337.465|55.159|42.492|0.022|0.042|0.025
99|16:19.1|48.87558731|-50.55467007|45.11|20.95|27.35|8.88|29.94|41.51|338.411|55.067|42.721|0.021|0.041|0.026
100|16:29.7|48.63950421|-49.62946381|44.77|20.91|27|8.91|29.56|41.01|338.983|53.531|44.722|0.018|0.043|0.026
101|16:40.3|48.39513866|-48.71265067|44.68|19.91|26.88|8.91|29.03|40.55|338.351|53.063|44.895|0.02|0.042|0.023
102|16:50.8|48.14289533|-47.80537459|44.75|20.62|26.55|8.75|28.89|40.20|337.593|54.505|45.755|0.021|0.041|0.029
103|17:01.4|47.88291821|-46.90771773|44.54|19.73|26.54|8.57|28.66|39.99|337.309|53.703|46.586|0.022|0.043|0.023
104|17:11.9|47.61574006|-46.02101202|44.5|20.52|26.34|8.71|28.37|39.68|336.668|53.792|46.753|0.019|0.042|0.024
105|17:22.5|47.34036353|-45.14159158|44.75|21.11|26.18|8.6|28.17|39.41|336.223|54.832|45.398|0.014|0.041|0.025
106|17:33.0|47.05718348|-44.27051834|44.84|20.71|25.98|8.46|28.25|39.30|336.372|55.688|45.58|0.016|0.04|0.027
107|17:43.6|46.76746394|-43.41123477|44.81|20.51|25.86|8.47|27.81|38.91|336.48|55.376|45.277|0.019|0.042|0.024
108|17:54.2|46.46998919|-42.55972853|44.77|20.71|25.48|8.27|27.72|38.55|336.448|55.482|45.424|0.02|0.041|0.028
109|18:04.7|46.16643966|-41.72038726|44.72|20.95|25.27|8.02|27.44|38.16|336.308|54.564|46.561|0.018|0.043|0.028
110|18:15.3|45.85583007|-40.89000843|45.04|20.92|24.87|7.94|27.27|37.75|337.201|54.986|46.149|0.021|0.042|0.025
111|18:25.8|45.53891346|-40.07020998|45.09|20.23|24.62|7.7|27.2|37.49|337.662|55.747|46.195|0.014|0.042|0.028
112|18:36.4|45.21493239|-39.25867419|45.13|20.63|24.47|7.48|26.51|36.84|338.695|55.149|47.046|0.02|0.041|0.026
113|18:46.9|44.88535689|-38.45867877|44.41|21.86|24.26|7.25|26.45|36.62|339.046|56.92|46.518|0.02|0.041|0.026
114|18:57.5|44.54916364|-37.66731902|44.77|20.28|24.33|7.03|26.1|36.37|338.66|57.624|45.871|0.018|0.043|0.028
115|19:08.1|44.20684898|-36.88543674|44.38|21.71|24.36|7.04|25.85|36.21|338.36|59.254|44.086|0.02|0.041|0.029
116|19:18.6|43.85907745|-36.11413452|44.7|21.01|24.05|6.67|25.79|35.89|338.038|58.786|43.152|0.013|0.041|0.027
117|19:29.2|43.50536488|-35.35193893|45|21.5|23.71|6.47|25.33|35.29|338.239|56.987|43.01|0.015|0.042|0.025
118|19:39.7|43.14607677|-34.59928106|44.73|20.91|23.45|6.7|24.74|34.74|337.296|57.909|42.527|0.019|0.041|0.026
119|19:50.3|42.78128776|-33.85594933|44.54|21.34|23.31|6.61|24.44|34.41|336.533|57.748|42.865|0.02|0.041|0.026
120|20:00.8|42.41103109|-33.12166154|44.72|18.93|23.3|6.58|24.33|34.32|335.761|57.229|42.574|0.02|0.04|0.026
121|20:11.4|42.03488192|-32.39527985|45.09|18.88|23.03|6.23|24.16|33.95|335.106|58.543|42.296|0.015|0.043|0.027
122|20:21.9|41.65475462|-31.68011566|44.98|23.32|23.02|5.92|23.86|33.68|335.146|60.079|42.68|0.022|0.041|0.027
123|20:32.5|41.26889191|-30.97248967|44.59|19.44|23.02|5.93|23.71|33.57|335.987|58.42|43.168|0.019|0.04|0.026
124|20:43.0|40.8784948|-30.27429596|44.73|21.31|22.99|5.86|23.76|33.58|335.236|58.532|42.224|0.019|0.041|0.025
125|20:53.6|40.48325618|-29.58463626|44.73|20.53|22.91|5.85|23.65|33.44|335.36|57.768|43.48|0.018|0.04|0.027
126|21:04.2|40.08323758|-28.90330607|44.72|21.76|22.71|5.87|23.39|33.13|335.598|58.821|42.769|0.02|0.042|0.025
127|21:14.7|39.67868369|-28.23041031|45.13|21.13|22.36|5.8|23.04|32.63|335.161|59.027|43.262|0.016|0.043|0.027
128|21:25.3|39.26993022|-27.56618008|44.52|20.71|21.67|5.82|22.79|31.98|335.337|59.032|42.928|0.016|0.041|0.027
129|21:35.8|38.85690654|-26.91017724|44.63|21.73|21.24|5.73|22.38|31.38|335.779|58.899|42.637|0.02|0.042|0.027
130|21:46.4|38.43972439|-26.26227203|44.68|19.89|21.3|5.45|22.01|31.11|335.655|58.316|43.157|0.021|0.042|0.025
131|21:56.9|38.01845291|-25.62227196|45.21|20.82|21.07|5.21|21.98|30.89|335.824|55.516|44.884|0.019|0.042|0.026
132|22:07.5|37.59331628|-24.9902194|44.66|19.87|20.88|4.81|21.67|30.47|335.622|56.088|43.278|0.02|0.041|0.028
133|22:18.0|37.16462212|-24.36626406|44.57|20.71|20.75|4.56|21.44|30.18|335.889|55.779|45.302|0.015|0.041|0.028
134|22:28.6|36.73202764|-23.74961676|44.41|19.21|20.44|4.61|20.85|29.56|336.967|56.968|44.042|0.017|0.041|0.028
135|22:39.1|36.29556161|-23.14005655|44.57|20.96|20.05|4.83|20.92|29.38|335.982|55.828|44.113|0.017|0.041|0.025
136|22:49.7|35.85530113|-22.53743703|44.68|20.23|19.98|4.64|20.78|29.20|337.371|56.53|42.109|0.015|0.044|0.025
137|23:00.3|35.41182929|-21.94228753|44.61|20.51|19.95|4.53|20.19|28.74|337.285|57.905|41.021|0.013|0.042|0.027
138|23:10.8|34.96492821|-21.35404504|44.4|19.92|19.83|4.29|19.33|28.02|337.412|56.009|40.948|0.014|0.042|0.025
139|23:21.4|34.51494299|-20.77290125|44.49|20.87|19.31|4.26|19.23|27.58|337.04|56.118|42.427|0.015|0.041|0.026
140|23:31.9|34.061583|-20.19822803|44.61|20.23|19.2|4.15|19.01|27.34|336.803|55.112|43.703|0.017|0.041|0.024
141|23:42.5|33.60494522|-19.62991351|45.05|20.57|19.28|3.83|19.12|27.42|337.578|54.989|45.066|0.018|0.043|0.024
142|23:53.0|33.14532284|-19.06808467|44.33|19.91|19.13|3.5|18.48|26.83|338.027|55.691|43.961|0.014|0.041|0.026
143|24:03.6|32.68302398|-18.51287091|45.18|21.2|18.87|3.49|18.25|26.48|337.518|56.994|43.199|0.012|0.042|0.029
144|24:14.1|32.21768286|-17.96359791|44.5|21.68|18.78|3.39|17.78|26.08|338.276|56.726|42.739|0.016|0.042|0.027
145|24:24.7|31.74964046|-17.42044378|44.68|20.61|18.61|3.23|17.57|25.80|338.369|57.064|41.182|0.018|0.042|0.025
146|24:35.2|31.27939961|-16.88375237|44.45|19.83|18.41|3.17|17.11|25.33|338.466|56.92|41.254|0.02|0.041|0.03
147|24:45.8|30.80565642|-16.35182767|44.49|19.98|18.42|3.11|16.72|25.07|338.363|55.401|41.152|0.018|0.041|0.025
148|24:56.4|30.32952289|-15.82572384|44.57|19.78|18.17|2.64|16.53|24.71|338.399|54.675|41.481|0.02|0.041|0.027
149|25:06.9|29.85086962|-15.30508461|45.04|19.9|18.03|2.73|16.07|24.31|339.046|52.947|41.508|0.014|0.041|0.028
150|25:17.5|29.37008769|-14.79012385|44.77|20.64|17.89|2.82|15.84|24.06|339.756|54.321|39.812|0.016|0.04|0.025
151|25:28.0|28.88686896|-14.28030582|44.4|21.21|17.68|2.55|14.58|23.06|339.564|55.033|40.211|0.018|0.041|0.027
152|25:38.6|28.40138875|-13.77562062|44.72|20.54|17.5|2.26|14.34|22.74|339.16|54.837|38.914|0.018|0.041|0.024
153|25:49.1|27.91378412|-13.27601571|45.21|20.12|17.32|2.33|14.24|22.54|339.979|56.738|38.659|0.017|0.041|0.025
154|25:59.7|27.42395617|-12.7812008|44.52|21.19|17.27|2.17|14|22.34|340.345|56.358|39.116|0.02|0.041|0.029
155|26:10.2|26.93233537|-12.29142144|44.33|22|17|2.1|13.39|21.74|339.162|56.909|38.126|0.017|0.041|0.028
156|26:20.8|26.43840694|-11.80598357|44.7|21.09|16.73|2.02|12.92|21.23|339.593|57.428|38.329|0.017|0.042|0.028
157|26:31.3|25.94270055|-11.32523245|44.57|20.72|16.48|1.85|12.34|20.67|340.244|59.842|37.645|0.014|0.042|0.027
158|26:41.9|25.44494554|-10.84873094|45.11|19.87|16.26|1.6|11.91|20.22|340.055|60.541|38.76|0.013|0.042|0.028
159|26:52.4|24.94508168|-10.37625837|45.18|19.87|16.28|1.36|11.79|20.15|339.419|60.692|39.426|0.015|0.041|0.029
160|27:03.0|24.4432742|-9.907810944|45.25|19.88|16.2|1.42|11.39|19.85|339.893|60.956|39.93|0.018|0.042|0.027
161|27:13.6|23.93894147|-9.442697366|44.7|20.9|16.13|1.36|10.82|19.47|339.759|59.838|39.579|0.015|0.042|0.028
162|27:24.1|23.43399348|-8.982513224|44.95|19.78|15.55|1.54|9.97|18.54|339.215|59.508|37.971|0.013|0.041|0.026
163|27:34.7|22.9274888|-8.526224197|44.4|19.27|15.3|1.5|10.03|18.36|338.845|59.389|38.131|0.015|0.042|0.027
164|27:45.3|22.419291|-8.073553378|44.61|20.65|15.09|1.33|9.58|17.92|340.07|59.324|38.538|0.015|0.042|0.024
165|27:55.8|21.9100095|-7.624887121|44.38|19.78|14.89|0.97|8.54|17.19|341.65|60.308|38.902|0.02|0.041|0.026
166|28:06.4|21.39855478|-7.179120276|45.02|20.29|14.85|1.12|8.25|17.02|341.256|60.77|37.339|0.017|0.041|0.029
167|28:16.9|20.88556546|-6.736674283|44.61|20.63|14.73|0.84|7.74|16.66|341.854|59.839|35.815|0.014|0.041|0.028
168|28:27.5|20.37197095|-6.298198156|44.86|20.79|14.58|0.76|7.2|16.28|340.731|59.915|35.405|0.018|0.041|0.025
169|28:38.0|19.85674301|-5.862666921|44.81|21.74|14.59|0.82|6.89|16.16|342.055|59.384|33.933|0.018|0.042|0.026
170|28:48.6|19.34012887|-5.430156138|44.75|20.87|14.55|0.84|6.58|15.99|341.934|59.371|33.893|0.019|0.041|0.027
171|28:59.1|18.82223061|-5.000616838|44.59|19.16|14.41|0.51|6.15|15.68|341.099|59.404|32.359|0.022|0.041|0.027
172|29:09.7|18.30302764|-4.573899765|45.14|20.66|13.88|0.4|6.14|15.18|340.651|60.45|32.038|0.02|0.041|0.028
173|29:20.2|17.78311409|-4.150357961|44.7|20.19|13.59|0.69|5.47|14.67|340.067|58.401|32.304|0.018|0.042|0.028
174|29:30.8|17.26138088|-3.728961219|44.38|20.15|13.48|0.74|4.82|14.33|339.816|56.315|30.254|0.019|0.041|0.027
175|29:41.3|16.73985552|-3.311214251|44.41|20.27|13.38|0.69|4.23|14.05|339.933|56.706|29.557|0.017|0.041|0.026
176|29:51.9|16.2158812|-2.894864905|44.82|20.99|13.45|0.71|3.44|13.90|340.037|57.665|28.333|0.014|0.041|0.027
177|30:02.4|15.69266152|-2.482332815|44.49|20.66|13.78|0.69|3.52|14.24|340.058|57.187|26.298|0.02|0.042|0.027
178|30:12.9|15.16965971|-2.073047749|44.61|20.49|13.6|0.91|3.12|13.98|339.989|56.14|26.24|0.016|0.045|0.028
179|30:23.5|14.64369091|-1.664406178|44.41|19.73|13.49|0.15|2.51|13.72|339.133|57.533|24.128|0.015|0.042|0.025
180|30:34.0|14.11659682|-1.257740807|45.16|21.2|13.38|0.32|1.34|13.45|338.371|56.859|23.08|0.02|0.042|0.028
181|30:44.6|13.58817741|-0.85278685|45.23|22.42|13.31|0.53|0.98|13.36|338.901|56.807|21.188|0.017|0.041|0.026
182|30:55.1|13.05908691|-0.449933534|44.38|19.75|13.16|0.67|0.76|13.20|339.022|56.791|19.239|0.017|0.041|0.025
183|31:05.7|12.52913245|-0.048920307|44.27|21.12|13.25|0.63|0.22|13.27|339.488|56.726|18.999|0.015|0.041|0.027
184|31:16.2|11.9988962|0.349926584|44.27|20.41|13.36|0.72|-0.07|13.38|340.759|56.837|16.824|0.021|0.041|0.026
185|31:26.8|11.46739669|0.747455167|44.54|22.28|13.08|0.73|-0.57|13.11|340.547|57.286|15.914|0.014|0.042|0.026
186|31:37.4|10.93569245|1.142982159|44.36|19.71|12.98|0.6|-1.12|13.04|340.754|58.233|13.92|0.017|0.041|0.025
187|31:47.9|10.40367539|1.536700373|44.84|21.21|12.73|0.68|-1.89|12.89|341.864|58.434|12.321|0.021|0.042|0.027
188|31:58.5|9.870140895|1.929604578|44.43|20.63|12.8|0.61|-2.44|13.04|342.416|59.527|10.974|0.021|0.041|0.027
189|32:09.0|9.3359577|2.321155342|44.36|20.23|12.81|0.62|-2.97|13.16|341.962|58.862|8.795|0.014|0.042|0.029
190|32:19.6|8.801803738|2.710962804|44.38|21.96|12.61|0.6|-3.42|13.08|342.68|57.554|6.572|0.014|0.043|0.024
191|32:30.1|8.267705398|3.099116412|44.36|22.16|12.62|0.51|-3.88|13.21|343.111|57.482|5.43|0.022|0.041|0.024
192|32:40.7|7.732463412|3.486589673|44.38|20.95|12.49|0.67|-4.59|13.32|342.105|58.547|4.531|0.02|0.04|0.026
193|32:51.2|7.196970595|3.87283581|45.02|21.33|12.3|1.08|-5.1|13.36|342.126|58.612|2.188|0.021|0.041|0.026
194|33:01.8|6.662629487|4.256950325|45.11|20.67|12.5|1.31|-5.73|13.81|343.376|57.821|0.923|0.02|0.042|0.029
195|33:12.3|6.12686811|4.640883602|44.43|20.53|12.63|1.5|-6.1|14.11|342.891|57.42|359.648|0.015|0.041|0.027
196|33:22.9|5.590017624|5.024491556|44.63|19.97|12.52|1.54|-6.64|14.26|342.598|57.363|358.846|0.019|0.041|0.027
197|33:33.4|5.052750198|5.40739011|44.27|20.5|12.4|1.64|-7.3|14.48|342.325|56.728|357.031|0.014|0.043|0.027
198|33:44.0|4.515779462|5.789170142|44.68|21.3|12.45|1.45|-7.32|14.52|343.253|57.507|355.29|0.018|0.04|0.022
199|33:54.5|3.979004502|6.170003382|44.7|20.69|12.41|1.43|-7.69|14.67|343.175|57.655|354.493|0.021|0.04|0.025
200|34:05.0|3.442451241|6.549970116|44.57|20.65|12.57|1.67|-8.33|15.17|343.374|55.979|354.111|0.021|0.042|0.022
